Date,Source,Category,Description,Amount EUR
5/1/26,Galicia_TC_Visa,Travel,AUTOPISTAS TERRASSA MANRE, $(9.76)
5/1/26,Galicia_TC_Visa,Travel,AUTOPISTAS TERRASSA MANRE, $(3.19)
5/1/26,Galicia_TC_Master,Subscriptions/Recurring,Google Workspace [converted from USD], $(54.10)
5/1/26,Galicia_TC_Visa,Small expenses,MITRE, $(10.00)
5/1/26,Galicia_TC_Visa,Travel,PETROMIRALLES CERCS NORD, $(25.00)
5/1/26,Galicia_TC_Visa,School fees,SQ *ABAT, $(1.99)
5/1/26,Galicia_TC_Visa,School fees,SQ *ABAT, $(22.52)
5/1/26,Galicia_TC_Visa,Travel,TUNELSPAN B.Vallvidrera N, $(4.70)
5/1/26,Galicia_TC_Visa,Travel,TUNELSPAN B.Vallvidrera S, $(4.70)
5/1/26,Galicia_TC_Visa,Travel,TUNELSPAN Barrera Cadi N, $(14.56)
5/1/26,Galicia_TC_Visa,Travel,TUNELSPAN Barrera Cadi S, $(14.56)
5/2/26,Galicia_TC_Visa,Small expenses,SQ *HELADOS DE GUATEMALA, $(18.20)
5/2/26,Galicia_TC_Visa,Small expenses,SQ *NINETYNINE CHEESECAKE, $(1.99)
5/3/26,Galicia_TC_Visa,Third-party transfers,FLORS OLIVA PL ADRIA, $(26.00)
5/3/26,Galicia_TC_Visa,Small expenses,REMARKABLE OPS B, $(3.99)
5/4/26,Galicia_TC_Visa,Small expenses,AB SERVICIOS SELECTA E, $(2.90)
5/4/26,Santander_ES,Shopping,"Compra Decathlon Espana S.a.u, San Sebastian, Tarjeta 5489010505382414 , Comision 0,00", $(78.93)
5/4/26,Santander_ES,Travel,"Compra Internet En Renfe Virtual I, Madrid Es, Tarj. :*382414", $(289.50)
5/4/26,Santander_ES,Travel,"Compra Internet En Renfe Virtual I, Madrid Es, Tarj. :*382414", $(181.90)
5/4/26,Santander_ES,Restaurants,"Compra Sq *cultivate Humanity, Barcelona, Tarjeta 5489010505382414 , Comision 0,00", $(45.90)
5/4/26,Santander_ES,Restaurants,"Pago Movil En 11691 Barcelona, Barcelona Es, Tarj. :*382414", $(96.02)
5/4/26,Santander_ES,Restaurants,"Pago Movil En Cedipsa E.s.mit, Barcelona Es, Tarj. :*382414", $(6.99)
5/4/26,Santander_ES,Restaurants,"Pago Movil En Corp. Alim. Gui, Barcelona Es, Tarj. :*382414", $(12.50)
5/4/26,Santander_ES,Restaurants,"Pago Movil En Delicatessen Ar, Barcelona Es, Tarj. :*382414", $(11.50)
5/4/26,Santander_ES,Restaurants,"Pago Movil En Exuberant, Barcelona Es, Tarj. :*382414", $(2.50)
5/4/26,Santander_ES,Restaurants,"Pago Movil En Starbucks Coffe, Barcelona Es, Tarj. :*382414", $(15.30)
5/4/26,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bblnhxp Ref. Mandato Ca0010007483, De", $(517.50)
5/4/26,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bblnhxq Ref. Mandato Ca0010007483, De", $(185.67)
5/4/26,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bblnhxr Ref. Mandato Ca0010007483, De", $(294.33)
5/4/26,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bblnhxt Ref. Mandato Ca0010007483, De", $(35.00)
5/4/26,Santander_ES,Home/Groceries,Transferencia Inmediata A Favor De Solc Ecoserveis S.l., $(71.55)
5/5/26,Galicia_TC_Master,Third-party transfers,AMOVENS, $41.15 
5/5/26,Santander_ES,Home/Groceries,"Compra Condis Copernic 47.49, Barcelona, Tarjeta 5489010505382414 , Comision 0,00", $(11.47)
5/5/26,Santander_ES,Restaurants,"Pago Movil En Delicatessen Ar, Barcelona Es, Tarj. :*382414", $(5.75)
5/5/26,Santander_ES,School fees,"Pago Movil En Iese Sur, Barcelona Es, Tarj. :*382414", $(3.45)
5/5/26,Santander_ES,School fees,"Pago Movil En Iese Sur, Barcelona Es, Tarj. :*382414", $(1.85)
